"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 01 02:38:53 IST 2021","Fri Oct 01 02:39:13 IST 2021","20471","TestCases","test_001_Registation_withvaliddata","","","","test_login",""
"passed","Fri Oct 01 02:39:13 IST 2021","Fri Oct 01 02:39:39 IST 2021","25534","TestCases","test_002_Pom","","","","test_registation",""
